| name                            | title                               | level | facing   | categories   | description                                                                                                                                                                                                                                                                              | detail                                                                                                                                                                                                                                          | remediation                                                                                              | metadata                                                                                                                                                                                                                                                         | cache_key                                                                                  |
| ------------------------------- | ----------------------------------- | ----- | -------- | ------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.get_current_tenant_id\` has a role mutable search_path                                                                                                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"get_current_tenant_id","type":"function","schema":"public"}                                                                                                                                                                                             | function_search_path_mutable_public_get_current_tenant_id_095a08975c087de085f95a008f708fcb |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.get_current_user_role\` has a role mutable search_path                                                                                                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"get_current_user_role","type":"function","schema":"public"}                                                                                                                                                                                             | function_search_path_mutable_public_get_current_user_role_4e2203c674b0553b7113422d2ed27eb5 |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.has_role_or_higher\` has a role mutable search_path                                                                                                                                                                           | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"has_role_or_higher","type":"function","schema":"public"}                                                                                                                                                                                                | function_search_path_mutable_public_has_role_or_higher_4d159588e0fed659cbe296b9de11f57e    |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.update_updated_at\` has a role mutable search_path                                                                                                                                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"update_updated_at","type":"function","schema":"public"}                                                                                                                                                                                                 | function_search_path_mutable_public_update_updated_at_da5ac28a58c8b4bb30209bf0d3d7082c     |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.base_template_ingredients` has an RLS policy `Allow all` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                               | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"base_template_ingredients","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":null,"policy_name":"Allow all","permissive_using":true,"permissive_with_check":true}                                               | rls_policy_always_true_public_base_template_ingredients_Allow all                          |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.base_templates` has an RLS policy `Allow all` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                          | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"base_templates","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":null,"policy_name":"Allow all","permissive_using":true,"permissive_with_check":true}                                                          | rls_policy_always_true_public_base_templates_Allow all                                     |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.drink_sizes` has an RLS policy `Allow all deletes on drink_sizes` for `DELETE` that allows unrestricted access (USING clause is always true). This effectively bypasses row-level security for anon, authenticated.               | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"drink_sizes","qual":"true","type":"table","roles":["anon","authenticated"],"schema":"public","command":"DELETE","with_check":null,"policy_name":"Allow all deletes on drink_sizes","permissive_using":true,"permissive_with_check":false}               | rls_policy_always_true_public_drink_sizes_Allow all deletes on drink_sizes                 |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.drink_sizes` has an RLS policy `Allow authenticated inserts` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for anon, authenticated.               | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"drink_sizes","qual":null,"type":"table","roles":["anon","authenticated"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"Allow authenticated inserts","permissive_using":false,"permissive_with_check":true}                    | rls_policy_always_true_public_drink_sizes_Allow authenticated inserts                      |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.food_items` has an RLS policy `Allow all` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                              | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"food_items","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":null,"policy_name":"Allow all","permissive_using":true,"permissive_with_check":true}                                                              | rls_policy_always_true_public_food_items_Allow all                                         |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.ingredient_categories` has an RLS policy `Allow all` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.                                   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"ingredient_categories","qual":"true","type":"table","roles":["-"],"schema":"public","command":"ALL","with_check":null,"policy_name":"Allow all","permissive_using":true,"permissive_with_check":true}                                                   | rls_policy_always_true_public_ingredient_categories_Allow all                              |
