| name                            | title                               | level | facing   | categories   | description                                                                                                                                                                                                                                                                              | detail                                                                                                                                                                                                                      | remediation                                                                                              | metadata                                                                                                                                                                                                                               | cache_key                                                                                      |
| ------------------------------- | ----------------------------------- | ----- | -------- | ------------ | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------- |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.get_tenant_location_usage\` has a role mutable search_path                                                                                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"get_tenant_location_usage","type":"function","schema":"public"}                                                                                                                                                               | function_search_path_mutable_public_get_tenant_location_usage_5c0293f93de43f21add3d7009557aafb |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.get_tenant_max_locations\` has a role mutable search_path                                                                                                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"get_tenant_max_locations","type":"function","schema":"public"}                                                                                                                                                                | function_search_path_mutable_public_get_tenant_max_locations_cbd99638b27bb94b58134714ebd89d43  |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.get_tenant_location_count\` has a role mutable search_path                                                                                                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"get_tenant_location_count","type":"function","schema":"public"}                                                                                                                                                               | function_search_path_mutable_public_get_tenant_location_count_8243326a3b6d380beba252aabbb0b814 |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.can_add_location\` has a role mutable search_path                                                                                                                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"can_add_location","type":"function","schema":"public"}                                                                                                                                                                        | function_search_path_mutable_public_can_add_location_7b63c34d9e3ea3919c21212d3410f633          |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.                                                                                                                                                                                                                            | Function \`public.enforce_location_limit\` has a role mutable search_path                                                                                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"enforce_location_limit","type":"function","schema":"public"}                                                                                                                                                                  | function_search_path_mutable_public_enforce_location_limit_0a060816bc218a7932d58924ea95f20c    |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.equipment` has an RLS policy `All team members can insert equipment` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.     | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"equipment","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"All team members can insert equipment","permissive_using":false,"permissive_with_check":true}     | rls_policy_always_true_public_equipment_All team members can insert equipment                  |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.maintenance_logs` has an RLS policy `All team members can insert logs` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -.   | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"maintenance_logs","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"All team members can insert logs","permissive_using":false,"permissive_with_check":true}   | rls_policy_always_true_public_maintenance_logs_All team members can insert logs                |
| rls_policy_always_true          | RLS Policy Always True              | WARN  | EXTERNAL | ["SECURITY"] | Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access. | Table `public.maintenance_tasks` has an RLS policy `All team members can insert tasks` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for -. | https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy                | {"name":"maintenance_tasks","qual":null,"type":"table","roles":["-"],"schema":"public","command":"INSERT","with_check":"true","policy_name":"All team members can insert tasks","permissive_using":false,"permissive_with_check":true} | rls_policy_always_true_public_maintenance_tasks_All team members can insert tasks              |
| auth_leaked_password_protection | Leaked Password Protection Disabled | WARN  | EXTERNAL | ["SECURITY"] | Leaked password protection is currently disabled.                                                                                                                                                                                                                                        | Supabase Auth prevents the use of compromised passwords by checking against HaveIBeenPwned.org. Enable this feature to enhance security.                                                                                    | https://supabase.com/docs/guides/auth/password-security#password-strength-and-leaked-password-protection | {"type":"auth","entity":"Auth"}                                                                                                                                                                                                        | auth_leaked_password_protection                                                                |
